SN,Title,Point1_Rel,Point2_Rel,Point1_Abs,Point2_Abs,Slope,Distance,Timestamp
1,Incremental Slope,[ 46.47162628 132.63497925   6.74419737],[ 48.1138916  127.0059433    6.87235498],[ 1339997.23751225 10506323.49545246     2564.88677549],[ 1339998.87977757 10506317.86641651     2565.01493311],0.021856067488449527,5.86510916166473,Nov-11-2022 22:22:37
2,Incremental Slope,[ 48.1138916  127.0059433    6.87235498],[ 49.70074844 121.36128998   7.01352835],[ 1339998.87977757 10506317.86641651     2565.01493311],[ 1340000.46663441 10506312.22176319     2565.15610647],0.02407677962568862,5.865164589505768,Nov-11-2022 22:22:37
3,Incremental Slope,[ 49.70074844 121.36128998   7.01352835],[ 51.32801056 115.78305817   7.21657801],[ 1340000.46663441 10506312.22176319     2565.15610647],[ 1340002.09389653 10506306.64353138     2565.35915613],0.034943880071709676,5.81428252666481,Nov-11-2022 22:22:37
4,Incremental Slope,[ 51.32801056 115.78305817   7.21657801],[ 52.94322205 110.08237457   7.42623568],[ 1340002.09389653 10506306.64353138     2565.35915613],[ 1340003.70910801 10506300.94284778     2565.5688138 ],0.035384718035183525,5.9287990285885765,Nov-11-2022 22:22:37
5,Incremental Slope,[ 52.94322205 110.08237457   7.42623568],[ 54.581604   104.4635849    7.61226463],[ 1340003.70910801 10506300.94284778     2565.5688138 ],[ 1340005.34748997 10506295.32405811     2565.75484276],0.031784689821031956,5.855740738885894,Nov-11-2022 22:22:37
6,Incremental Slope,[ 54.581604   104.4635849    7.61226463],[56.24766159 98.77627563  8.06702328],[ 1340005.34748997 10506295.32405811     2565.75484276],[ 1340007.01354756 10506289.63674884     2566.2096014 ],0.07673545562996187,5.943739562245109,Nov-11-2022 22:22:37
7,Incremental Slope,[56.24766159 98.77627563  8.06702328],[57.81897736 93.17261505  8.44028282],[ 1340007.01354756 10506289.63674884     2566.2096014 ],[ 1340008.58486332 10506284.03308826     2566.58286095],0.06413617176419487,5.83175512663447,Nov-11-2022 22:22:37
8,Incremental Slope,[57.81897736 93.17261505  8.44028282],[59.46138763 87.54625702  8.52558708],[ 1340008.58486332 10506284.03308826     2566.58286095],[ 1340010.2272736  10506278.40673023     2566.66816521],0.01455411343509612,5.861799471659708,Nov-11-2022 22:22:37
9,Incremental Slope,[59.46138763 87.54625702  8.52558708],[61.10768509 81.90964508  8.55282116],[ 1340010.2272736  10506278.40673023     2566.66816521],[ 1340011.87357106 10506272.77011829     2566.69539928],0.004637868173762413,5.872174311934559,Nov-11-2022 22:22:37
10,Incremental Slope,[61.10768509 81.90964508  8.55282116],[62.69886017 76.26277161  8.50736523],[ 1340011.87357106 10506272.77011829     2566.69539928],[ 1340013.46474614 10506267.12324482     2566.64994335],-0.007748030717441567,5.866948474946183,Nov-11-2022 22:22:37
11,Incremental Slope,[62.69886017 76.26277161  8.50736523],[64.33655548 70.63720703  8.07583427],[ 1340013.46474614 10506267.12324482     2566.64994335],[ 1340015.10244145 10506261.49768024     2566.2184124 ],-0.07365143819637897,5.874967377713889,Nov-11-2022 22:22:37
12,Slope BW First and Last,[ 46.47162628 132.63497925   6.74419737],[64.33655548 70.63720703  8.07583427],[ 1339997.23751225 10506323.49545246     2564.88677549],[ 1340015.10244145 10506261.49768024     2566.2184124 ],0.02063901208430876,64.53412052540479,Nov-11-2022 22:22:37
12,Average Slope,[ 46.47162628 132.63497925   6.74419737],[64.33655548 70.63720703  8.07583427],[ 1339997.23751225 10506323.49545246     2564.88677549],[ 1340015.10244145 10506261.49768024     2566.2184124 ],0.020610025011932546,64.53412052540479,Nov-11-2022 22:22:37
