x1, y1, z1, x2, y2, z2, sp 
1349764.02, 10509108.28, 2579.82, 1349763.25, 10509109.00, 2579.61, 0.20
1349763.25, 10509109.00, 2579.61, 1349762.50, 10509109.00, 2579.55, 0.09
1349762.50, 10509109.00, 2579.55, 1349761.88, 10509110.00, 2579.52, 0.03
1349761.88, 10509110.00, 2579.52, 1349761.12, 10509110.00, 2579.45, 0.08
1349761.12, 10509110.00, 2579.45, 1349760.38, 10509112.00, 2579.52, 0.03
1349760.38, 10509112.00, 2579.52, 1349759.50, 10509113.00, 2579.53, 0.01
1349759.50, 10509113.00, 2579.53, 1349758.75, 10509113.00, 2579.50, 0.05
1349758.75, 10509113.00, 2579.50, 1349758.00, 10509114.00, 2579.56, 0.05
1349758.00, 10509114.00, 2579.56, 1349757.25, 10509115.00, 2579.68, 0.10
1349757.25, 10509115.00, 2579.68, 1349756.50, 10509115.00, 2579.69, 0.01
1349756.50, 10509115.00, 2579.69, 1349755.75, 10509116.00, 2579.77, 0.07
1349755.75, 10509116.00, 2579.77, 1349755.00, 10509116.00, 2579.82, 0.07
1349755.00, 10509116.00, 2579.82, 1349754.25, 10509117.00, 2579.83, 0.00
1349754.25, 10509117.00, 2579.83, 1349753.62, 10509118.00, 2579.96, 0.11
1349753.62, 10509118.00, 2579.96, 1349752.88, 10509118.00, 2580.15, 0.24
1349752.88, 10509118.00, 2580.15, 1349752.12, 10509119.00, 2579.95, 0.16
1349752.12, 10509119.00, 2579.95, 1349751.25, 10509119.00, 2580.07, 0.13
1349751.25, 10509119.00, 2580.07, 1349750.62, 10509120.00, 2579.98, 0.07
1349750.62, 10509120.00, 2579.98, 1349750.00, 10509121.00, 2579.89, 0.08
1349750.00, 10509121.00, 2579.89, 1349749.38, 10509121.00, 2580.51, 0.98
1349749.38, 10509121.00, 2580.51, 1349748.38, 10509123.00, 2579.92, 0.26
1349748.38, 10509123.00, 2579.92, 1349748.12, 10509123.00, 2580.27, 1.42
1349748.12, 10509123.00, 2580.27, 1349746.88, 10509124.00, 2579.76, 0.32
1349746.88, 10509124.00, 2579.76, 1349746.00, 10509125.00, 2579.82, 0.05
1349746.00, 10509125.00, 2579.82, 1349745.38, 10509125.00, 2579.85, 0.04
1349745.38, 10509125.00, 2579.85, 1349744.62, 10509126.00, 2579.93, 0.06
1349744.62, 10509126.00, 2579.93, 1349743.88, 10509126.00, 2579.86, 0.09
1349743.88, 10509126.00, 2579.86, 1349743.12, 10509127.00, 2579.83, 0.03
1349743.12, 10509127.00, 2579.83, 1349742.38, 10509128.00, 2579.84, 0.01
1349742.38, 10509128.00, 2579.84, 1349741.62, 10509128.00, 2579.91, 0.09
1349741.62, 10509128.00, 2579.91, 1349740.88, 10509129.00, 2579.82, 0.07
1349740.88, 10509129.00, 2579.82, 1349740.12, 10509129.00, 2579.85, 0.04
1349740.12, 10509129.00, 2579.85, 1349739.38, 10509130.00, 2579.83, 0.02
1349739.38, 10509130.00, 2579.83, 1349738.62, 10509131.00, 2579.82, 0.01
1349738.62, 10509131.00, 2579.82, 1349737.88, 10509131.00, 2579.82, 0.00
1349737.88, 10509131.00, 2579.82, 1349737.12, 10509132.00, 2579.83, 0.00
1349737.12, 10509132.00, 2579.83, 1349736.38, 10509132.00, 2579.83, 0.00
1349736.38, 10509132.00, 2579.83, 1349735.62, 10509134.00, 2579.82, 0.00
1349735.62, 10509134.00, 2579.82, 1349735.46, 10509133.65, 2580.16, 0.88
